Fp1||F7,F7||T7,T7||P7,P7||O1,Fp2||F8,F8||T8,T8||P8,P8||O2,Fp1||F3,F3||C3,C3||P3,P3||O1,Fp2||F4,F4||C4,C4||P4,P4||O2,Fz||Cz,Cz||Pz
13.588268108342394,2.96437169985661,-5.721939996356909,-27.803293738792043,18.316813429444352,14.046280109706379,-1.5622468384272388,-31.083909640478566,13.020608027295879,8.791465268700087,-19.05086194553852,-19.733805277273813,10.254470372537142,9.037705179106384,-10.571792348134803,-9.003446143395024,1.1724647278318416,-15.186555599418696
36.06712111985467,-6.001772527485482,0.6382676978470201,-54.47383190689091,19.750365495331202,24.25342433100091,-14.557168028974697,-41.24811585019157,37.195788694590114,-21.377128349133898,-28.365523883169836,-11.223352078824853,40.18895259532301,-15.876904408939517,-6.924209442375674,-29.18933279697427,-14.25200476347234,-60.72343230509158
32.76852873336245,-0.7095624990244467,-19.564723387190803,-45.503897219328216,20.209064115701743,9.366039612433092,-2.6481028268135347,-47.0197928837283,32.46402288916569,-20.293700082577153,-28.795123251023597,-16.38485392760703,32.72083011806563,-12.078451844484064,-12.943685610644003,-27.79148464547781,-3.7969068639761714,-59.28897702153226
34.06409002584513,1.9460272121119964,-32.24845006655042,-49.72249241635261,11.587239618770724,-1.5138508872707597,2.0357788298415116,-44.49286780579402,33.39613718007699,-19.11115227918858,-38.30887625904098,-21.93693388665159,32.28438506244572,-14.333204096489027,-17.204148429983665,-33.13073278055971,-1.8377867602725395,-77.58366965993577
32.141225040458274,-23.133228684243452,-23.3502850226009,-46.32864729029985,21.131322488187134,13.293785297102419,-38.20118458071421,-40.210642498343454,35.304545613647015,-21.735878935803704,-46.26227910715373,-27.977323527230922,29.016195361044463,-16.879467597391304,-22.14692394796937,-33.976523109586864,-0.07375707907857265,-79.3767300595807
26.609339346477316,-7.977729512844846,-41.699184592135055,-43.72105151736797,18.07904384216588,11.79613156936539,-13.689125299535064,-55.658049432999746,35.45481603363305,-22.406158838966125,-47.28434359478961,-32.55293987560049,32.193755306350766,-16.787624777384686,-17.4201737051591,-37.457956144946216,2.4717391835068825,-86.93436213650764
28.210818086753576,-23.29186582552255,-33.97410780325796,-45.22018769050134,13.85627687162942,22.509257176735986,-3.7259035211087586,-60.46375715191796,22.909265095720794,-10.379727011392678,-51.92229058558733,-34.882590731118846,39.277971898353684,-20.991491270220834,-12.789553245801962,-33.3210540071286,10.583911059144858,-88.83084690737677
27.08226036153688,-34.895615340380765,-44.70706805795526,-40.376792278791484,14.224744231621154,17.6007127257101,13.466380619845374,-76.60097874227307,26.37925093179257,-16.321201202101026,-62.2271147717739,-40.72815027335529,36.1084803034539,-14.744865767692627,-11.965937848417509,-40.70681785257727,6.000741090520972,-91.02354031443835
25.665137590585495,-19.351307115378162,-52.901733765588034,-54.97261842020075,17.328863301667354,16.01610372799975,21.090818447905015,-84.34306784076243,24.965998666068366,-11.909924951848804,-67.35898617765989,-47.25760924698539,37.43160599806451,-8.399587469234664,-13.874973239064234,-45.064327653093606,7.472495538998056,-89.50870573752658
32.5533558258254,-20.80042616304082,-52.79637933213255,-60.78468388474167,18.77394873963125,32.79472343152405,21.296101486288293,-99.70610633589635,23.454718071384498,-5.349237380586649,-64.97429507163505,-54.95931917309403,31.528426103618937,-0.7838834565602841,-8.946081560734026,-48.63979376491573,6.991220097525139,-86.43504088705743
