Fp1||F7,F7||T7,T7||P7,P7||O1,Fp2||F8,F8||T8,T8||P8,P8||O2,Fp1||F3,F3||C3,C3||P3,P3||O1,Fp2||F4,F4||C4,C4||P4,P4||O2,Fz||Cz,Cz||Pz
-93.66507541404688,-52.01012009269006,-33.07711199967091,-5.570916463183416,-107.9418563688756,-36.219333538666675,-0.6887513464706911,-20.855685217448308,-125.19734423694479,-19.785536321951728,-21.378413379078673,-17.961930031666554,-120.43086058567839,-20.411538180237827,-16.08870386599043,-8.774523839567184,-36.049076017401376,-10.379839977291827
-91.49196831036097,-43.45040859068342,-29.593608917699704,-5.14767494980431,-102.25385772741566,-30.93522092935895,-5.049643557422083,-18.12878595865252,-120.69057306074345,-15.741615208335414,-15.81707177463884,-17.434400724882593,-105.41365897192637,-20.557776231826878,-17.784408516890032,-12.611664452217859,-31.82945737898067,-12.753025420771605
-68.90993044217849,-40.65298134874362,-31.384677221633858,-7.849294337710865,-84.84816307253108,-38.35007204834399,-9.020981265845979,-14.71814275705688,-104.27250343549257,-9.842489401203611,-14.357083817915218,-20.324806695708652,-95.7705894107463,-18.751458474719783,-17.723811990322588,-14.691499268000467,-24.973071155803947,-12.392702128063785
-57.26700464324376,-37.953714316353654,-22.532192302994005,-8.011618946984008,-75.54936103564437,-35.514303166694106,-11.821546567942802,-14.334754912811544,-91.66607971314195,-8.240572733732034,-7.91626052900417,-17.941617233751685,-89.93916502070743,-14.992529184515483,-16.59059864053817,-15.697672837342148,-26.026897453865605,-8.517600641922527
-49.33642297572445,-22.950098066069128,-31.7476150995502,-11.005817229515912,-69.47462853145748,-28.09204542054102,-8.666153415015446,-19.517728093498132,-76.42593465881258,-5.467007196359027,-9.190088532759598,-23.956922982984093,-79.13022144226764,-14.3591339353596,-16.338002146013544,-15.923197936880843,-28.936099017993065,-4.448075755099666
-39.06330709949182,-16.736226766772283,-31.882177440022907,-13.902149226195732,-61.05753487565251,-26.92328718697351,-9.80890690158393,-11.41912212945896,-63.1420211674987,-5.916365792748792,-11.440163752682661,-21.085309819609332,-65.10162559770248,-13.433193770788998,-15.208260701409502,-15.465771023776563,-25.302051347831174,-3.01619273164275
-35.52972525783292,-10.718240357178171,-31.62749998831055,-11.720061942439138,-44.73164602634584,-23.316465845351278,-19.449131358517494,-9.27751476587611,-61.67780568529753,-0.01816397318437879,-7.635108513030517,-20.264449374306125,-51.75971011301323,-10.456810231842088,-15.154605210825338,-19.403632440417738,-18.152084119029873,-5.6868076552928555
-23.01267671735413,-11.634542798806478,-36.45249614826321,-20.28010054968663,-40.126221615288735,-26.451382273511225,-19.227212235060236,-14.9484052746745,-52.697086046965325,0.9969848473736445,-12.423563107119193,-27.2561519074583,-45.94053532978379,-14.121462026380346,-20.18107765168942,-20.510146390687808,-18.912091306213686,-11.190359078535582
-29.539825511155158,-3.2739679945441544,-34.833630671282,-21.613231659583658,-42.2607675652517,-19.72619103466566,-24.86608534772388,-17.103497294231488,-52.3134155692994,-0.331790731051794,-9.00837520098638,-27.607074335287002,-44.81204093243176,-13.196447905623932,-25.01423316845586,-20.933819235366826,-17.03497407227819,-11.323585208835736
-15.16904589314682,-16.789352744527772,-25.696744609708965,-19.137466517549854,-33.1663072656585,-21.40285703810291,-26.60001536757668,-17.79360416373035,-38.65148260141222,-3.418516285716552,-13.600708366429046,-21.121902511435998,-34.89746866418282,-16.568560183602404,-27.9939617245869,-19.50279326270089,-17.989501759485226,-16.53585183874887
