Fp1||F7,F7||T7,T7||P7,P7||O1,Fp2||F8,F8||T8,T8||P8,P8||O2,Fp1||F3,F3||C3,C3||P3,P3||O1,Fp2||F4,F4||C4,C4||P4,P4||O2,Fz||Cz,Cz||Pz
-1.1552545259786662,6.482586496692431,1.5357241242428508,-1.9290119462057715,-0.0788536037180112,-1.7647270217612814,1.5722107933129728,4.75039850263987,-2.5654523334628507,18.575493649713394,-2.926492431562778,-8.149504735837304,-4.698193329954442,5.085096732418794,0.054405130810199154,4.037720137296914,13.024578874730366,9.262602120991613
-35.19074649189928,15.281812106554671,5.367043342264527,-9.47393507963113,18.40385368533068,-55.431781615809754,-27.73035612363939,17.925508567190256,-5.389066541953447,-2.289127887506133,-2.4640063398146417,-13.873625353338454,-22.434673772298943,-26.086047188067482,-4.09959520550272,5.787540679042573,5.629210888617276,2.682862432320479
-12.685322742403645,9.720519078777311,-6.130241772378476,-7.153826885412782,25.071015049571344,-42.1074025769788,-19.729790476403174,2.585832990004044,-0.7847896170923789,-5.580637282586567,-3.6656282865991727,-6.217817135042139,-9.30959722570165,-20.440163365098712,-5.717327642607483,1.2867432197067252,3.799981658407173,14.556929916257124
-12.058244541852808,5.2284237895046,-6.295742361339769,-8.933659407258972,32.22757654813011,-52.90648157536694,-26.380172286363155,6.193037914276125,-2.619787556683505,0.9859238507366186,-7.019885066115176,-13.405473748788879,-6.925107434357827,-22.60687704496761,-15.346015415091731,4.011960495202791,5.974558278116174,13.34125481039597
-7.7232788558315235,0.633428330200072,-10.16892709761661,-3.4850495069277994,29.619545864102598,-54.91857920337412,-19.849207370211822,7.164765753715061,-4.546076724898477,4.812627246236054,-5.495656324941869,-15.514721326476966,-0.04654373465772377,-29.070547883757186,-10.231591644277977,1.365208307038193,12.34844609232858,16.418815433158155
-6.809534437238705,-0.060703234398221895,-5.054468849947234,-6.628465356172836,27.30574014130685,-61.03473480889612,-21.719417375101216,16.34102714901948,6.522707759416065,11.075253777508184,-9.054267126976754,-27.096866287611334,2.634607794247481,-34.85066966439754,-10.19876324759079,3.307440224187701,22.335887266280764,14.12139643476549
-6.778002500472509,-2.2253479387627557,-9.409861890951905,-3.9104752739805937,21.770550077912862,-61.09875944034442,-21.443926599054244,15.948113334992891,11.934162158486902,13.035340536177843,-11.738829317961102,-35.55436098077978,7.075521628212202,-29.302587406792384,-18.665735718385406,-3.93122112940517,29.979946814985183,12.113048099425432
-21.105542274484655,-6.056020427188944,-10.149152634008821,-5.19442450438931,12.916386638560478,-65.85321866416987,-26.054251562848798,20.34171046296793,6.122016589928034,16.64993142845608,-18.237146636155018,-47.03994122221083,7.807416123620995,-33.422754043113564,-25.67160289656016,-7.362432309310929,34.01125965630546,8.538175237874121
-29.870064391087553,-10.088051390200015,-13.034333452677412,-2.765264738272696,7.384044152568583,-66.80210113574854,-28.616850791213785,18.291175137714234,6.469566532259218,17.329035105731283,-24.838455180283454,-54.71786042985647,0.04511323773274167,-24.847585940086724,-30.044653809525826,-14.89660612466854,41.85199778009345,6.424070272994067
-28.286427635337002,-7.973881932039543,-19.921089138105415,-1.896426819193647,4.001696971169312,-64.33624754090692,-34.01476806064535,19.562276426222564,16.297389065322967,20.150777259789262,-32.0312716854279,-62.49472016427349,-7.81277078945144,-19.592991350892678,-31.687411034784752,-15.693869028895719,46.17801244453323,4.794058977680243
-22.702471505353735,-8.600557832587445,-20.848519860003762,-0.8299840582167057,7.65229850829318,-53.18234711075838,-33.458962079998344,14.096260446169996,20.566402059102565,29.216707037604845,-33.27275320913232,-69.49188914365214,-9.125459731578172,-10.627651829815377,-31.674288278870947,-13.465350395888443,50.407504189676374,7.652012660120406
-24.15360527395591,-9.038535323869574,-24.703671485623588,4.340460715213647,5.054461629285828,-41.543854498375225,-28.609768167943713,9.80339577016036,20.351046200015354,32.71016289410957,-34.1296140060373,-72.4869464562404,-10.728946247816356,-2.5415199488861235,-30.200777679397845,-11.824521390626973,56.689120646543635,9.724318197636366
-15.45214947829237,-16.70998789842834,-21.427990065312166,4.239852167068413,10.173307760151191,-37.72187920230634,-19.369680605539195,14.008002773563433,31.76504960985322,36.00224659821866,-41.340458446168,-75.77711303678774,-3.150381196763294,7.595097798014063,-26.583449656650256,-10.771516218581056,63.75348611031428,9.350699830624116
-9.489006704440403,-16.966436382157653,-21.95933747312658,9.512971801929817,18.321328968417255,-41.52130426846857,-19.215617714590625,21.436551574929638,45.53112319300772,32.647474516512254,-44.26081020962562,-72.81959625761067,7.555503020445633,7.672603049457974,-25.412390400596085,-10.794757108864534,67.20617462821367,9.167823440787604
-1.9673152863883514,-15.862838916576784,-26.88385675093142,10.394133502010547,22.662545994550452,-41.614027150544246,-25.80394195835875,26.424879533946918,56.668913408949855,30.84902530261173,-47.09016636145004,-74.74764980192128,19.240282688625445,3.257448548721504,-30.88705280752216,-9.941222010070213,63.14104626452927,5.562260715267058
-9.098336929237053,-23.262801719340917,-20.088218933014694,8.54360677013636,20.071972610831494,-41.90654940076444,-23.802534293271016,19.793143551115826,60.29571922391868,20.938712549867766,-47.97324079970732,-77.1669417854615,21.94291390261246,0.5996913859208011,-37.53877103772242,-10.847801782733857,52.73016078038666,2.4402306072453257
-3.830952330442963,-21.392786567657218,-24.424534863927025,7.086527194990323,13.284085858475944,-34.78175573406388,-19.46163407064975,17.264222436530734,72.52524828791057,19.615941200113326,-53.35565190323995,-81.3472841517493,24.64795330766852,-2.546834547746399,-35.79725158058875,-9.998948688870318,45.153509744829826,-5.5695318652607355
-5.989755261482557,-26.464144638081194,-20.06848438617308,0.2611759576824013,5.228677077678017,-35.18146520761298,-11.414174632665178,12.978632596793075,77.7324370587391,10.767117151510188,-57.964085660739926,-82.79667687749475,25.98823600350076,-8.7212683603314,-35.72140399237206,-9.933893816429569,36.3096291044764,-8.115394040120194
-5.711384233801235,-28.22297517728017,-17.86027913326661,-4.803344154318509,5.4762627186252715,-36.17215933731441,-8.351834179609078,18.948255048528615,83.04646961221995,7.868943344329061,-61.21279588248703,-86.30059977266203,30.84669131807534,-9.622739755250954,-33.69805140029186,-7.625375912122605,30.20264420544946,-12.717088114945565
-10.027264481115191,-33.212504205352715,-12.721920437032024,-3.419373984947248,14.026899443183423,-38.24230402732633,-20.040523583229373,19.547828515028655,81.63146717799168,-1.9694651977009485,-59.58630034957849,-79.45676473909555,33.36389597896935,-10.622461778814902,-39.00483571951189,-8.444698132801953,23.219373572414696,-13.905865160139662
-20.20701218463223,-34.49918490026738,-9.536500422273027,-6.91512392455383,12.618645219420484,-33.67711104365664,-31.24576967906385,24.25012910630347,78.37047364072114,-9.177711154442402,-60.60443754625091,-79.74614637169313,25.434297466875073,-10.157947625055256,-37.67685370877095,-5.653602529856497,16.922492816337197,-17.443614572022643
-21.504371697715378,-38.43091822973777,-5.374493263056351,-12.263116762928618,7.9899381719838,-27.7502675279798,-30.63940626035847,16.45331449532863,76.29102952289017,-18.34576731668781,-57.333696389007116,-78.18446577057512,14.968211389287756,-11.354281688319434,-27.07749689440979,-10.482853927390812,10.726204080237617,-17.275637301277015
-14.114719111782438,-32.89828724692195,-2.7752078060397976,-17.99839936926312,-3.2771898968312403,-8.93832516660322,-16.756696143738754,15.298273439212835,81.54571661149933,-16.2898954163661,-55.92669886419353,-77.11573586489183,6.94621986740234,3.073919674195468,-17.46097533525452,-6.233101974105482,10.880748093294818,-16.234086666686633
-7.41325553344434,-25.22576011258537,2.558087720518308,-21.679441487683658,-6.045737933167705,-0.6793023821094835,-4.8323729014335175,10.335597643857945,79.48601152102958,-16.584575487334796,-45.64127373667953,-69.02053171015844,6.934850160051174,7.344977072004168,-12.050138564125048,-3.4515042405803036,11.429144808997863,-14.709670406794537
1.9203267576694962,-18.050228136526233,9.453290481522929,-27.89607047052305,3.1023648996544764,-6.000745597694863,-7.171435020985053,16.116258523018622,76.65511386738942,-11.124266616930633,-39.856707351877745,-60.2468212663895,11.516116112683967,6.9276883456104015,-14.458463774110543,2.0611021200166153,17.059104565897158,-15.632195338339239
8.2218260463259,-16.742993890607615,14.394510751413259,-29.323869737060324,17.917071738668838,-14.941717413855548,-11.469127525901314,23.75336811426173,68.46323421343808,-9.08884512515429,-32.909022449544146,-49.91589346862375,23.326810123890205,7.583824961022204,-18.533650784314368,2.882610612787347,20.348774606233867,-11.677403312932999
19.792100161159595,-15.15174101660284,13.2799112693085,-37.584024707919966,25.702923420699342,-17.05298727415541,-17.237278981513267,27.582742165024083,62.234820690227366,-8.622859791344158,-28.802353729959542,-44.47336146293757,26.937041318626243,13.903265927150109,-21.639074642521987,-0.20583327298358745,21.68891803823147,-13.197084814979366
21.494152048615813,-11.811718961902764,12.261716428818678,-35.000399232813436,30.561590611672557,-26.690386091111105,-17.932934985816118,29.75281395117376,55.72385613114328,-9.335722461573372,-24.411816524169094,-35.03256686264571,28.596935775431877,5.182536002557784,-17.524770542354794,-0.5636177494954977,15.806145674450937,-14.331843054828418
8.640365650205078,-7.406641612302915,22.960983048157505,-35.24499227981116,16.574905753785476,-35.357828991270594,-9.649896980671082,31.142464480974475,46.196027884514166,-9.176660236081231,-24.620456497106627,-23.449196345045113,26.939314479885766,-9.30091336307322,-12.636276377579579,-2.2924804761902613,6.118603813712639,-13.81219254266062
-5.58550579482521,-6.331211013755505,33.658567069162736,-31.67699347227247,3.8604058893605897,-43.44608079747509,-2.0563890892539174,36.73219824535732,39.99918634045668,-13.809858396531652,-20.053284883988688,-16.071186271598354,21.18294349676968,-18.1211599441311,-7.0713733700946015,-0.900275934326612,-0.34222826076626234,-9.978014268640187
-12.0036734855308,-9.464444484150032,40.54560044555995,-27.030736169000804,-4.749793466125153,-38.84571088144508,-0.4260338753083541,37.14683038077587,39.28189227721342,-13.95786456983193,-23.601273296008856,-9.676008104470256,25.683537257008602,-17.860215688789424,-10.59595541133209,-4.102073998757437,2.0879169598850673,-10.349014166649294
-20.96589368476355,-7.235974947537432,43.03591966535392,-20.817849071599706,-4.76339674488211,-33.56874566616895,-8.17695353367249,43.81227317538675,38.96602693258092,-13.331702286231938,-24.717531334346848,-6.900591350529332,34.48399889918885,-13.791630876655075,-16.276439186300145,-7.112751605334259,11.455999831449622,-11.897859539125374
-28.761205055391045,-14.9781527502676,43.27777710606775,-19.386003550736852,-3.407038732138769,-34.64666202302436,-15.348156502113259,39.63837736286645,36.21959282250257,-20.622936169017944,-25.74598592585284,-9.698254977944657,33.22866458406243,-10.017062344213123,-23.42933307026801,-13.545749063751398,12.332209139508715,-13.159738769704438
-38.710000476932706,-20.09320813364685,37.46230222654843,-18.438178259087987,-12.69258502262976,-36.90371446825728,-18.32640091878496,37.90654949842974,29.968425074211495,-28.99554638951927,-26.491458390249015,-14.260504937552305,21.13629504936532,-14.935106915357347,-24.242126696599207,-11.975212348407634,11.845668203082589,-14.427676741410082
-43.487976031614146,-28.245362209810835,33.499552605153085,-13.775010649413375,-10.74466693286007,-37.117307457825426,-16.330515928513616,30.51114976619282,23.044661751325226,-36.203423023595136,-25.684530556701795,-13.16550445670861,15.199358465750684,-12.725241266722636,-22.914207994443306,-13.241249757344228,10.28945508705076,-15.115775793429918
-47.392095713558355,-27.813409444685817,30.51038859245734,-10.279309174442059,-11.332992488693087,-36.752412093805845,-13.462214179799693,30.538266769185515,20.03827362032137,-33.94567226915143,-25.66911631052202,-15.397910780877076,9.36309509477274,-13.446242607688575,-16.22297287602326,-10.703231603923985,7.761328928126382,-13.075611483518706
-42.31678732009293,-32.17651903606816,32.20558380040239,-5.509553054368201,-7.230857155499187,-34.930208824809846,-8.354371327535395,20.604773093273344,22.707150420047988,-36.577991945652144,-23.027318565510125,-10.89911551901826,12.905009204440162,-13.094172955207243,-16.27807866869844,-13.44342179485253,10.413825302680623,-15.338583949682334
-42.42244017556804,-34.303385652504105,32.627795139721684,-0.8328747664996214,-2.4421980968721506,-34.67818281325298,-16.729963965832617,19.46090418627882,24.99655617624268,-36.38542641625247,-21.37259325340691,-12.169441961444548,10.492853397107432,-18.79807608415765,-17.41547019217024,-8.668747810202657,8.188291476262165,-22.19770621709702
-42.9238387768262,-38.393337148022624,27.186887560461756,0.9187256021066048,5.572114515750634,-48.398957389468436,-20.424729239318083,9.625873025560292,10.207054804105724,-36.59068266804711,-16.01748415872783,-10.810450739628052,9.841605844796321,-29.972033678145912,-24.615782127302584,-8.879489126565069,2.354369125985894,-25.742738048917264
-41.770181097638726,-44.25109605662718,27.503910664820808,1.0148714253217896,10.366696804803777,-51.18989427977484,-27.153701774916787,9.849913416471598,-6.036084159379925,-34.4593411891756,-9.012914941741787,-7.994154773848592,1.9667701027322515,-32.651016402636166,-21.374942502817287,-6.067797030434442,-9.138666675267096,-27.829210088553964
-43.84436141767566,-47.87272595754031,23.519895651662374,5.412755861030901,1.8828268777228478,-37.28926742986932,-21.29171262225456,2.847552408857023,-25.29535973095176,-31.944549572956472,1.594162230951362,-7.1386887895943545,-15.768398165721429,-22.831083803879924,-9.54853066849649,-5.702588127183599,-16.42729999099472,-18.691378730569554
-44.458812251370574,-44.18004813203413,17.090118048913876,16.26091834139473,-8.551173713407126,-28.865459649875373,-8.991265172523088,2.8767665951438666,-36.92605962281634,-26.214221661157936,12.971570024942046,-5.119112734098458,-29.984774861970656,-17.30939347559806,5.394541465003982,-1.6315050678327916,-25.370914474248423,-6.727836829422157
-45.76200471296111,-43.13416862859978,24.327883607228102,22.914732363187323,-11.560139880136873,-23.184125241160384,-4.901082478872169,0.8553322761522324,-43.95556130449397,-25.764564611012457,25.412182838752983,2.6543857055671722,-40.09640074046972,-12.570292477556013,13.200136540234688,0.6765413540393315,-30.500599344814532,7.182471985861319
-39.06239758257814,-44.34446577884083,25.79908096463432,22.73750402230334,-6.362789342122415,-12.920999995438024,-9.41185378725279,0.3965316973099391,-49.215932832851195,-26.298617031806863,37.841670707509365,2.802600782620189,-31.845233781611583,-9.883356573374444,11.23142474460936,2.198054183139849,-32.01159617256943,12.004202371896174
-39.49693509633556,-44.88120937036612,22.57772462659952,22.858311224319355,-8.779657334551871,-7.158315381418724,-13.05083282868072,-3.2849186957456986,-57.49240307227687,-25.4725677029439,41.76371936733621,2.2591427920480385,-37.360659333268416,0.41950590573230073,6.031407646932482,-1.3639784595262885,-31.17338509522792,13.01085487249674
-36.518572746104134,-50.40854299411036,8.413499171737056,25.71865803624029,-18.029464978694673,4.74856524497816,-18.35717159849352,-7.356998748574785,-64.9763257061602,-27.973958024098927,41.8658133830053,-1.7104881850437792,-53.61527705815916,11.209255832641233,10.393185989183927,-6.982234844183434,-29.74373838791847,15.768906560433997
-24.365492261942958,-52.52788831343365,-1.0685762966256895,29.85373650478797,-13.799387097554565,3.1703836248849626,-9.315047683269684,-10.843185265800003,-56.53076247041,-30.287074522240694,37.56192322732562,1.1476933980433444,-66.74167819988153,18.67721772260829,19.43381335055976,-2.1565892947585263,-22.644389969788534,17.543929931782902
-17.588682361507217,-55.82913907412447,1.650925780810132,24.423593111068843,5.6684291077696045,-5.349839669326386,-8.776415455524877,-16.282633468694847,-53.24980257063356,-27.919621596445147,39.49666333865348,-5.67054171540196,-58.28254093267932,17.159219475813327,19.090519539886607,-2.7076575685303528,-14.758166731429121,19.019521752013155
-14.527944012580402,-48.788654545364196,-2.4714713107280364,16.16666495690125,2.873423124011177,-6.065829486024228,-14.29987079837043,-15.667462292019046,-53.180314400121716,-23.31299844972944,37.415895597977986,-10.543987659979948,-49.722559856794554,7.2411847806651295,13.562535577702395,-4.240899953709587,-8.819428787081392,16.289368397390522
-17.429384981884034,-42.44172462830871,-8.455439011041122,9.184627469593575,-1.480954242042836,-8.54808362714708,-20.025984895193076,-20.81431144644442,-57.68953537216895,-19.1039150061467,33.85864966820056,-16.20712044161436,-40.671096494932996,-3.8502359510230137,4.9982837537322276,-11.346285518338915,-7.171908831342581,11.013650865866351
-23.167934606602014,-43.42903360257056,-13.859748645651887,11.19248968921181,-10.12911164663484,-4.495729175435223,-22.82974185969803,-22.641063663030394,-53.20307452108568,-15.780606139889986,23.160708863970193,-23.44125536870389,-34.05787626457824,-8.888391936232702,-1.0357889156495297,-16.11358922807483,-8.25303353188605,2.997056566610201
